coletanea;codigo;numeracao;titulo;creditos
Cantor Cristão;CC;418;Disposição de trabalhar;
Cantor Cristão;CC;419;Mãos ao trabalho;
Cantor Cristão;CC;420;Servir alegremente;
Cantor Cristão;CC;421;Conversação cristã;
Cantor Cristão;CC;422;Trabalho cristão;
Cantor Cristão;CC;423;Oh, buscai;
Cantor Cristão;CC;424;Vamos à colheita;
Cantor Cristão;CC;425;Luz após trevas;
Cantor Cristão;CC;426;Gratidão na luta;Ira David Sankey
Cantor Cristão;CC;427;Conquistar o mundo;
Cantor Cristão;CC;428;Luz nas trevas;
Cantor Cristão;CC;429;Ceifando;
Cantor Cristão;CC;430;Em cada lugar;
Cantor Cristão;CC;431;Acode em tempo;
Cantor Cristão;CC;432;Avante com Deus;
Cantor Cristão;CC;433;A colheita além;Philip Paul Bliss | Emily S Oakey
Cantor Cristão;CC;434;Onde os obreiros;
Cantor Cristão;CC;435;Ainda há lugar;
Cantor Cristão;CC;436;Dai-nos luz;Charles H.Gabriel
Cantor Cristão;CC;437;As boas-novas;
Cantor Cristão;CC;438;Disse Jesus;Horation R.Palmer | Manuel A.de Souza
Cantor Cristão;CC;439;Oração pela pátria;Emily V.Lindsey | Salomão L.Ginsburg
Cantor Cristão;CC;440;A pátria feliz;
Cantor Cristão;CC;441;Graça e salvação;
Cantor Cristão;CC;442;O missionário;
Cantor Cristão;CC;443;Eis os milhões;
Cantor Cristão;CC;444;Brasil;
Cantor Cristão;CC;445;Deves divulgar;
Cantor Cristão;CC;446;Avançai;
Cantor Cristão;CC;447;Nunca ouvir de Cristo;
Cantor Cristão;CC;448;Ide;
Cantor Cristão;CC;449;Ousados proclamai;
Cantor Cristão;CC;450;Igreja, alerta;
Cantor Cristão;CC;451;Os que confiam;
Cantor Cristão;CC;452;Decisão;
Cantor Cristão;CC;453;À peleja;
Cantor Cristão;CC;454;Vitórias nas lutas;Samuel W.Beazley Manuel Avelino de Souza
Cantor Cristão;CC;455;Heróis;
Cantor Cristão;CC;456;O estandarte;
Cantor Cristão;CC;457;Confiança em Deus;
Cantor Cristão;CC;458;Cristo vos conduz;
Cantor Cristão;CC;459;Companheiras;
Cantor Cristão;CC;460;Vitória;
Cantor Cristão;CC;461;Fujamos da tentação;
Cantor Cristão;CC;462;Unidos;
Cantor Cristão;CC;463;Triunfo;
Cantor Cristão;CC;464;Sempre fiéis;
Cantor Cristão;CC;465;Igual a Daniel;
Cantor Cristão;CC;466;Lutai por Cristo;
Cantor Cristão;CC;467;Avante com alegria;
Cantor Cristão;CC;468;Testemunhos;
Cantor Cristão;CC;469;Corajosos;
Cantor Cristão;CC;470;O combate;
Cantor Cristão;CC;471;Vitorioso;
Cantor Cristão;CC;472;Frente ousada;
Cantor Cristão;CC;473;Firmes na fé;
Cantor Cristão;CC;474;Eia, ao combate;
Cantor Cristão;CC;475;Lutar;
Cantor Cristão;CC;476;Brilho celeste;G.H.Cook H.T.Zelley
Cantor Cristão;CC;477;Como andar;
Cantor Cristão;CC;478;O peregrino;
Cantor Cristão;CC;479;Vou à pátria;
Cantor Cristão;CC;480;Favor;Lowel Mason | Jane Cross Simpson
Cantor Cristão;CC;481;Ao lar celestial;
Cantor Cristão;CC;482;Guia, ó Deus;
Cantor Cristão;CC;483;Pátria celestial;
Cantor Cristão;CC;484;Da linda pátria estou mui longe;Stephen C.Foster | Justus Henry Nelson
Cantor Cristão;CC;485;Livro da vida;
Cantor Cristão;CC;486;Doce porvir;
Cantor Cristão;CC;487;Precioso é Jesus;Salomão Luiz Ginsburg | Charles Hutchison Gabriel
Cantor Cristão;CC;488;Cada vez mais;
Cantor Cristão;CC;489;Céu pra mim;James McGranahan | Pilip Paul Bliss
Cantor Cristão;CC;490;Aleluia sim é céu;James Milton Black | Benjameim Rufino Duarte
Cantor Cristão;CC;491;Como há de ser;
Cantor Cristão;CC;492;Meu canto celestial;
Cantor Cristão;CC;493;No paraíso;
Cantor Cristão;CC;494;Além;
Cantor Cristão;CC;495;Redenção;
Cantor Cristão;CC;496;Rio da vida;
Cantor Cristão;CC;497;Tantos remidos;
Cantor Cristão;CC;498;Bela cidade;Otis F.Presbrey | Jonathan Bush Atchinson
Cantor Cristão;CC;499;Tudo feliz;
Cantor Cristão;CC;500;Glória pra mim;Charles H.Gabriel
Cantor Cristão;CC;501;O nosso lar;John R.Sweney | Fanny Jane Crosby
Cantor Cristão;CC;502;Um pouco mais;
Cantor Cristão;CC;503;Face a face;
Cantor Cristão;CC;504;Lá no céu;
Cantor Cristão;CC;505;Jerusalém;
