coletanea;codigo;titulo;creditos
CC;405;Gozo e paz;
CC;406;Confiar em Cristo;
CC;407;Ditoso dia;Adapt. Edward F.Rimbault | Philip Doddridge
CC;408;Descanso verdadeiro;
CC;409;Plena paz;
CC;410;No serviço do meu rei;Bentley DeForrest Ackley | Aifred Henry Ackley
CC;411;Que alegria neste dia;
CC;412;A música dos salvos;
CC;413;Lealdade;
CC;414;Acordai;
CC;415;Alerta;Johan Martin Spiess | George Heath
CC;416;Filhos da luz;Sarah P.Kalley
CC;417;Brilha no meio do teu viver;Charles H.Gabriel
CC;418;Disposição de trabalhar;
CC;419;Mãos ao trabalho;
CC;420;Servir alegremente;
CC;421;Conversação cristã;
CC;422;Trabalho cristão;
CC;423;Oh, buscai;
CC;424;Vamos à colheita;
CC;425;Luz após trevas;
CC;426;Gratidão na luta;Ira David Sankey
CC;427;Conquistar o mundo;
CC;428;Luz nas trevas;
CC;429;Ceifando;
CC;430;Em cada lugar;
CC;431;Acode em tempo;
CC;432;Avante com Deus;
CC;433;A colheita além;Philip Paul Bliss | Emily S Oakey
CC;434;Onde os obreiros;
CC;435;Ainda há lugar;
CC;436;Dai-nos luz;Charles H.Gabriel
CC;437;As boas-novas;
CC;438;Disse Jesus;Horation R.Palmer | Manuel A.de Souza
CC;439;Oração pela pátria;Emily V.Lindsey | Salomão L.Ginsburg
CC;440;A pátria feliz;
CC;441;Graça e salvação;
CC;442;O missionário;
CC;443;Eis os milhões;
CC;444;Brasil;
CC;445;Deves divulgar;
CC;446;Avançai;
CC;447;Nunca ouvir de Cristo;
CC;448;Ide;
CC;449;Ousados proclamai;
CC;450;Igreja, alerta;
CC;451;Os que confiam;
CC;452;Decisão;
CC;453;À peleja;
CC;454;Vitórias nas lutas;Samuel W.Beazley Manuel Avelino de Souza
CC;455;Heróis;
CC;456;O estandarte;
CC;457;Confiança em Deus;
CC;458;Cristo vos conduz;
CC;459;Companheiras;
CC;460;Vitória;
CC;461;Fujamos da tentação;
CC;462;Unidos;
CC;463;Triunfo;
CC;464;Sempre fiéis;
CC;465;Igual a Daniel;
CC;466;Lutai por Cristo;
CC;467;Avante com alegria;
CC;468;Testemunhos;
CC;469;Corajosos;
CC;470;O combate;
CC;471;Vitorioso;
CC;472;Frente ousada;
CC;473;Firmes na fé;
CC;474;Eia, ao combate;
CC;475;Lutar;
CC;476;Brilho celeste;G.H.Cook H.T.Zelley
CC;477;Como andar;
CC;478;O peregrino;
CC;479;Vou à pátria;
CC;480;Favor;Lowel Mason | Jane Cross Simpson
CC;481;Ao lar celestial;
CC;482;Guia, ó Deus;
CC;483;Pátria celestial;
CC;484;Da linda pátria estou mui longe;Stephen C.Foster | Justus Henry Nelson
CC;485;Livro da vida;
CC;486;Doce porvir;
CC;487;Precioso é Jesus;Salomão Luiz Ginsburg | Charles Hutchison Gabriel
CC;488;Cada vez mais;
CC;489;Céu pra mim;James McGranahan | Pilip Paul Bliss
CC;490;Aleluia sim é céu;James Milton Black | Benjameim Rufino Duarte
CC;491;Como há de ser;
CC;492;Meu canto celestial;
CC;493;No paraíso;
CC;494;Além;
CC;495;Redenção;
CC;496;Rio da vida;
CC;497;Tantos remidos;
CC;498;Bela cidade;Otis F.Presbrey | Jonathan Bush Atchinson
CC;499;Tudo feliz;
CC;500;Glória pra mim;Charles H.Gabriel
CC;501;O nosso lar;John R.Sweney | Fanny Jane Crosby
CC;502;Um pouco mais;
CC;503;Face a face;
CC;504;Lá no céu;
CC;505;Jerusalém;
CC;506;Junto ao trono;George C.Stebbins
CC;507;Minha coroa;
CC;508;Terra feliz;
CC;509;Verei meu redentor;Benjamim Rufino Duarte
CC;510;Fonte de amor;
CC;511;Com Jesus;
CC;512;O doce lar;
CC;513;Triunfo;
CC;514;Paz real;
CC;515;Na glória;
CC;516;Além da morte;
CC;517;Querido lar;William A.Ogden
CC;518;Glória;Lowell Mason | John Law
CC;519;Perante o rei;
CC;520;Canaã celeste;
CC;521;Jerusalém;
CC;522;Um bom amigo;
CC;523;Cordeirinhos;
CC;524;Jóias preciosas;
CC;525;Vinde meninos;George F.Root
CC;526;Os meninos;
CC;527;A bênção;
CC;528;Aspiração infantil;
CC;529;Vai buscar;
CC;530;Soldado infantil;
CC;531;Teu cantinho;Edwin O.Excell | Emily H.Miller
CC;532;Ó meninos, vinde;
CC;533;Pequenos guerreiros;
CC;534;Cantam glória;
CC;535;Hosana infantil;
CC;536;A lição;
CC;537;Desejo infantil;
CC;538;Oh, vinde, meninos;
CC;539;Brilhando;
CC;540;Oração de criança;
CC;541;Pequenos raios;
CC;542;Jesus e as crianças;
CC;543;Cântico escolar;
CC;544;Avante mocidade;Ricardo Pitrowsky
CC;545;Vamos à escola;
CC;546;Mocidade, avante;
CC;547;Semeando e segando;
CC;548;Jovens lutadores;
CC;549;Alerta, mocidade;
CC;550;Juventude;James McGranahan
CC;551;Mocidade;
CC;552;Mocidade crente;
CC;553;Lealdade a Cristo;
CC;554;Agora;
CC;555;Alerta, jovens;
CC;556;Vou dormir em paz;
CC;557;O anoitecer;
CC;558;Hino vespertino;
CC;559;Fim do ano;
CC;560;Ano novo;
CC;561;Salve, ano novo;
CC;562;Templo novo;
CC;563;Consagração de templo;
CC;564;Mais um templo;
CC;565;Separação;William G.Tomer | Jeremiah E.Rankin
CC;566;Saudação;
CC;567;União vital;Samuel W. Beazley Manuel A.Souza
CC;568;Casamento;
CC;569;O ministério santo;
CC;570;Mais um obreiro;
CC;571;Morte do crente;
CC;572;Dormir em Cristo;
CC;573;Dormindo no Senhor;
CC;574;Pátria Brasileira;
CC;575;República do Brasil;
CC;576;Hino à Bandeira Nacional;
CC;577;Hino Nacional Brasileiro;
CC;578;Sonda-me, ó Deus;
CC;579;Olhando para Cristo;
CC;580;Vem visita a tua igreja;Melodia Galesa Henry M. Wright
CC;581;A única esperança;
HCC;1;Oh, vinde adorar!;H. Wright/W. Knapp
HCC;2;Santo! Santo! Santo!;Ap 4.8-11, R. Heber/J. Dykes
HCC;4;Santo, santo, Pai bondoso!;J. Owens
HCC;6;Onipotente Rei;Desc./Felice de Giardini
HCC;8;A ti, ó Deus, fiel e bom Senhor;H. Wright/W. Monk
HCC;9;Louvamos-te, ó Deus;W. Mackay/J. Husband
HCC;10;Louvemos ao Senhor;M. Rinkart/J. Crüger
HCC;13;Deus sábio, invisível, perfeito, imortal;W. Smith/Mel. galesa
HCC;14;Ao Deus de Abraão louvai;D. Dayyam/Mel. hebraica
HCC;15;Ó minha alma, a Deus bendize;Sl 103, H. Lyte/M. Andrews
HCC;17;Fonte és tu de toda bênção;R. Robinson/Hinário americano, 1813
HCC;18;O santo de Israel;E. Gióia/D. Peacock
HCC;21;Tu és digno de louvor;H. Rollo Jr.
HCC;22;Justo és, Senhor;Metrif. Sl 145.17,18/L. Mason
HCC;23;Não a nós, Senhor;Metrif. Sl 115,G.Kerr Neto/N. Bomilcar
HCC;25;Tu és fiel, Senhor;T. Chisholm/W. Runyam
HCC;27;Cantemos os louvores;R. Hasse/ Hinário alemão
HCC;29;Deus é Amor;J. Bowring/J. Sutton
HCC;30;A terra semeamos;M. Claudius/J. Shulz
HCC;32;Ao Deus de amor e de imensa bondade;S. Ginsburg/G. Stebbins
HCC;33;Deus cuidará de ti;C. Martin/W. Martin
HCC;34;Deus dos antigos;D. Roberts/G. Warren
HCC;35;Deus guia seus filhos em paz;G. Young
HCC;37;Deus vos guarde pelo seu poder;J. Rankin/W. Tomer
HCC;38;Ó Deus, eterno ajudador;Metrif. Sl 90, I. Watts/W. Croft
HCC;40;As tuas mãos dirigem meu destino;J. Hausmann/D. Hodges
HCC;42;Guia, ó Deus a minha vida;W. Williams/J. Hughes
HCC;43;Tu és digno;P. Mills
HCC;45;O mundo é teu, Senhor;M. Babcock/F. Shepard
HCC;46;Pela graça e o primor;F. Pierpoint/C. Kocher
HCC;47;Altamente os céus proclamam;Metr. Sl19, S. Kalley/Melodia alemã
HCC;48;Eu louvo o poderoso Deus;I. Watts/R. Manuel
HCC;50;Louvai ao Deus da criação;J. Schütz/Harm. M. Bell
HCC;52;Grandioso és tu!;C. Boberg/Mel. sueca
HCC;53;Tudo belo, ó Deus, criaste;M. Edgar/C. Lowden
HCC;54;Toda a natureza;S. Souza
HCC;55;Deus, por amor criou;F. Green/Mel. americana
HCC;59;Saudai o nome de Jesus;Perronet/Holden
HCC;60;Aleluia! Aleluia! Gratos hinos entoai;C. Wordsworth/L. van Beethoven
HCC;62;Jesus, sempre te amo;Featherstone/Gordon
HCC;63;Maravilhoso, ó Jesus amado;Mel. alemã
HCC;64;Glorioso és tu, Senhor;McKinney/Gióia
HCC;66;Cantarei ao meu Salvador;Smith/Ackley
HCC;67;Dai ao Cordeiro o louvor;Bonar/Landenberger
HCC;68;Tudo és tu, Jesus;Krummacher/Koch
HCC;69;Desejo te adorar, Senhor;J.Moraes/R.Manuel
HCC;71;Nós te louvamos, ó Senhor Jesus;Tucker/Vaughn Williams
HCC;72;Mil línguas eu quisera ter;C. Wesley/ Port. R.H. Moreton/ C. G. Glaser / Harm. R. Manuel
HCC;73;Louvamos, louvamos, Senhor, e adoramos;Holden/Kremser
HCC;75;Bendize tu, meu coração;Saltério escocês/ Hastings
HCC;76;Ao eterno salvador Jesus;Moraes/ Manuel
HCC;77;Luz da minha alma;Keble/J.Sutton
HCC;79;Ó Jesus, eu te amo;Tomes
HCC;80;Bendito seja sempre o Cordeiro;Kerr/Camargo
HCC;82;Meu Deus, eu te amo;Xavier/Booth
HCC;84;Eu te amo, ó meu Salvador;Desc./Hinário americano
HCC;85;Oh, vem, oh, vem, Emanuel!;Hino latino/Melodia gregoriana
HCC;87;Vem, Jesus tão desejado;Wesley/Perry
HCC;89;Em silêncio toda carne;Liturgia grega/Melosia francesa
HCC;90;Oh, vinde, fiéis!;Wade
HCC;91;Noite de paz! Noite de amor!;Mohr/Gruber
HCC;92;O canto angelical;Sears/Willis
HCC;94;Falai pelas montanhas;Negro spiritual
HCC;95;De Belém a linda história;Lício & Faustini/mel.polonesa
HCC;96;Cantam anjos harmonias;Wesley/Mendelssohn
HCC;97;Anjos das mansões de glória;Montgomery/Smart
HCC;98;Pequena vila de Belém;Brooks/Redner
HCC;99;Num berço de palhas;Desc./Murray
HCC;100;Proclamaram anjos mil o primeiro Natal;Hino inglês/Melodia inglesa
HCC;102;Quem é o menino?;Dix/mel. inglesa
HCC;104;Surgem anjos proclamando;Hino/Melodia francesa
HCC;106;Cantai que o Salvador chegou!;Waats/Handel
HCC;107;Numa estrebaria rude;Alexander/Gauntlett
HCC;108;Vem, minha alma, alegremente;Gerhardt/ Ebeling
HCC;109;Repousa tranquilo;Salum/ mel.nordestina
HCC;110;Jesus foi criança como eu;Almir Rosa
HCC;112;Vem, Jesus, habitar comigo;Elliott/Sankey
HCC;114;Veio a este mundo o Senhor Jesus;Morris
HCC;116;Um dia;Chapman/Marsh
HCC;117;Homem de tristeza e dor;Philip Bliss
