2026-04-14 22:36:42,602 | INFO | louvores.services.import_service | Letra do hino CC-007 carregada!
2026-04-14 22:36:42,622 | INFO | louvores.services.import_service | Letra do hino CC-008 carregada!
2026-04-14 22:36:42,643 | INFO | louvores.services.import_service | Letra do hino CC-009 carregada!
2026-04-14 22:36:42,662 | INFO | louvores.services.import_service | Letra do hino CC-010 carregada!
2026-04-14 22:36:42,684 | INFO | louvores.services.import_service | Letra do hino CC-227 carregada!
2026-04-14 22:36:42,708 | INFO | louvores.services.import_service | Letra do hino CC-579 carregada!
2026-04-14 22:36:42,728 | INFO | louvores.services.import_service | Letra do hino CC-013 carregada!
2026-04-14 22:36:42,744 | INFO | louvores.services.import_service | Letra do hino CC-123 carregada!
2026-04-14 22:36:42,763 | INFO | louvores.services.import_service | Letra do hino CC-168 carregada!
2026-04-14 22:36:42,763 | INFO | louvores.services.import_service | Processando: HCC.zip
2026-04-14 22:36:42,783 | INFO | louvores.services.import_service | Letra do hino HCC-001 carregada!
2026-04-14 22:36:42,802 | INFO | louvores.services.import_service | Letra do hino HCC-002 carregada!
2026-04-14 22:36:42,823 | INFO | louvores.services.import_service | Letra do hino HCC-004 carregada!
2026-04-14 22:36:42,842 | INFO | louvores.services.import_service | Letra do hino HCC-006 carregada!
2026-04-14 22:36:42,863 | INFO | louvores.services.import_service | Letra do hino HCC-008 carregada!
2026-04-14 22:36:42,864 | INFO | louvores.services.import_service | Processando: HL.zip
2026-04-14 22:36:42,883 | INFO | louvores.services.import_service | Letra do hino HL-002 carregada!
2026-04-14 22:36:42,883 | INFO | louvores.services.import_service | Processando: VM.zip
2026-04-14 22:36:42,897 | INFO | louvores.services.import_service | Letra do hino VM-018 carregada!
2026-04-14 22:36:42,917 | INFO | louvores.services.import_service | Letra do hino VM-102 carregada!
2026-04-14 22:36:42,918 | INFO | louvores.services.import_service | Importação concluída!
2026-04-14 22:36:42,918 | INFO | louvores.services.import_service | total_atualizados: 23
2026-04-14 22:36:42,919 | INFO | louvores.services.import_service | total_ignorados: 0
2026-04-14 22:36:42,919 | INFO | louvores.services.import_service | total_nao_encontrados: 0
2026-04-14 22:37:13,479 | INFO | louvores.services.stats_service | Estatísticas calculadas!
2026-04-14 22:38:50,303 | INFO | src.louvores.cli.app | Gerando slide para hino 123 [CC] ...
2026-04-14 22:38:50,373 | INFO | louvores.services.slide_service | CC-123-BENDITO CORDEIRO.pptx criado em output\slides
