codigo;coletanea;numeracao;titulo;creditos
CC;Cantor Cristão;195;Vida por um olhar
CC;Cantor Cristão;196;Conta-me
CC;Cantor Cristão;197;Inabalável
CC;Cantor Cristão;198;Aleluia
CC;Cantor Cristão;199;Cordeiro divino
CC;Cantor Cristão;200;Cristo meu salvador
CC;Cantor Cristão;201;Novo nascimento;George C.Stebbins | William T.Sleeper
CC;Cantor Cristão;202;Jesus tem o poder
CC;Cantor Cristão;203;Olha para Cristo;Philip P.Bliss | Henry Burton
CC;Cantor Cristão;204;Reconciliai-vos
CC;Cantor Cristão;205;Ó minha alma sem demora
CC;Cantor Cristão;206;Promessa gloriosa
CC;Cantor Cristão;207;Mensagem real
CC;Cantor Cristão;208;Justificação;Philip P.Bliss
CC;Cantor Cristão;209;Venham escutar
CC;Cantor Cristão;210;Cristo te chama;George Coles Stebbins | Fanny Jane Crosby
CC;Cantor Cristão;211;Vem, pecador
CC;Cantor Cristão;212;Oh, vinde já
CC;Cantor Cristão;213;Quem ouvir as novas
CC;Cantor Cristão;214;Cristo chama por ti;Bentley DEForrest Ackley | M.Avelino de Souza
CC;Cantor Cristão;215;Fonte bendita
CC;Cantor Cristão;216;Descanso em Jesus
CC;Cantor Cristão;217;Segue-me
CC;Cantor Cristão;218;Vinde a mim
CC;Cantor Cristão;219;Vem já
CC;Cantor Cristão;220;Perdão e salvação
CC;Cantor Cristão;221;Convite
CC;Cantor Cristão;222;Manso e suave;Will Lamartine Thompson
CC;Cantor Cristão;223;Abrigo
CC;Cantor Cristão;224;Um passo só
CC;Cantor Cristão;225;Voz de ternura;John Hart Stockton | William Hunter
CC;Cantor Cristão;226;Dá teu coração
CC;Cantor Cristão;227;Despertado coração
CC;Cantor Cristão;228;Ouvi a chamada
CC;Cantor Cristão;229;Régio hóspede;Williams Daniel W.Whittle | CC Williams Daniel W.Whittle
CC;Cantor Cristão;230;Deus chamando
CC;Cantor Cristão;231;Vem filho vem;Ira David Sankey | Horatius Bonar
CC;Cantor Cristão;232;Cristo à porta
CC;Cantor Cristão;233;Por que não já
CC;Cantor Cristão;234;Cristo salva
CC;Cantor Cristão;235;Chamada
CC;Cantor Cristão;236;Atribulado coração;William James Kirkpatrick
CC;Cantor Cristão;237;Tão perto;Robert Lowry | Fanny J.Crosby
CC;Cantor Cristão;238;A água da vida;Robert Lowry | Fanny J.Crosby
CC;Cantor Cristão;239;A luz do céu;Charles Hutchison Gabriel
CC;Cantor Cristão;240;Oh! Vem a Cristo;Antônio José Millan | Ira David Sankey
CC;Cantor Cristão;241;Palavra abençoada;James McGranahan
CC;Cantor Cristão;242;Vinde já;Elisha A.Hoffmann
CC;Cantor Cristão;243;Vida eterna
CC;Cantor Cristão;244;Graça admirável;John Zundel
CC;Cantor Cristão;245;Cristo vai passar;J.H.Tenney Elisha A.Hoffmann
CC;Cantor Cristão;246;Vem agora
CC;Cantor Cristão;247;Vem filho perdido;William H.Doane | Ellen H.Gates
CC;Cantor Cristão;248;Filho pródigo;Robert Lowry
CC;Cantor Cristão;249;Banquete do Belsazar;Knowles Shaw
CC;Cantor Cristão;250;Quase induzido;Philip Paul Bliss
CC;Cantor Cristão;251;Quase achegado;Philip Paul Bliss
CC;Cantor Cristão;252;A porta franca;Silas Jones Vail | Lydia Baxter
CC;Cantor Cristão;253;Não havia lugar
CC;Cantor Cristão;254;Não venhas tarde;Ricardo Pitrowsky
CC;Cantor Cristão;255;Qual é teu refúgio
CC;Cantor Cristão;256;Inda há lugar
CC;Cantor Cristão;257;Quem é que vai
CC;Cantor Cristão;258;Chora agora
CC;Cantor Cristão;259;A última hora
CC;Cantor Cristão;260;Agora
CC;Cantor Cristão;261;Alma ansiosa
CC;Cantor Cristão;262;Contrição
CC;Cantor Cristão;263;Luz divina
CC;Cantor Cristão;264;Das trevas
CC;Cantor Cristão;265;Resgate
CC;Cantor Cristão;266;Tal qual estou;William B.Bradbury | Chalotte Elliott
CC;Cantor Cristão;267;Salvação pela fé
CC;Cantor Cristão;268;Como estou
CC;Cantor Cristão;269;Confissão
CC;Cantor Cristão;270;Resolução
CC;Cantor Cristão;271;Substituição
CC;Cantor Cristão;272;Só um passo
CC;Cantor Cristão;273;Salvador benigno
CC;Cantor Cristão;274;Coro santo
CC;Cantor Cristão;275;Contentamento
CC;Cantor Cristão;276;Coro celeste
CC;Cantor Cristão;277;Convencido
CC;Cantor Cristão;278;Cantai
CC;Cantor Cristão;279;A doce luz
CC;Cantor Cristão;280;Fiquei curado
CC;Cantor Cristão;281;Fonte divina
CC;Cantor Cristão;282;Maravilha
